2023-01-04 15:23:17,516 INFO    MainThread:444709 [wandb_setup.py:_flush():68] Configure stats pid to 444709
2023-01-04 15:23:17,517 INFO    MainThread:444709 [wandb_setup.py:_flush():68] Loading settings from /home/workstaion/.config/wandb/settings
2023-01-04 15:23:17,517 INFO    MainThread:444709 [wandb_setup.py:_flush():68] Loading settings from /home/workstaion/workspace/potatochips/midog/wandb/settings
2023-01-04 15:23:17,517 INFO    MainThread:444709 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-04 15:23:17,517 INFO    MainThread:444709 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2023-01-04 15:23:17,517 INFO    MainThread:444709 [wandb_init.py:_log_setup():476] Logging user logs to /home/workstaion/workspace/potatochips/midog/wandb/run-20230104_152317-1b6iqc33/logs/debug.log
2023-01-04 15:23:17,517 INFO    MainThread:444709 [wandb_init.py:_log_setup():477] Logging internal logs to /home/workstaion/workspace/potatochips/midog/wandb/run-20230104_152317-1b6iqc33/logs/debug-internal.log
2023-01-04 15:23:17,517 INFO    MainThread:444709 [wandb_init.py:init():516] calling init triggers
2023-01-04 15:23:17,517 INFO    MainThread:444709 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-01-04 15:23:17,517 INFO    MainThread:444709 [wandb_init.py:init():569] starting backend
2023-01-04 15:23:17,517 INFO    MainThread:444709 [wandb_init.py:init():573] setting up manager
2023-01-04 15:23:17,518 INFO    MainThread:444709 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-01-04 15:23:17,519 INFO    MainThread:444709 [wandb_init.py:init():580] backend started and connected
2023-01-04 15:23:17,520 INFO    MainThread:444709 [wandb_init.py:init():658] updated telemetry
2023-01-04 15:23:17,526 INFO    MainThread:444709 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-01-04 15:23:18,086 INFO    MainThread:444709 [wandb_run.py:_on_init():2006] communicating current version
2023-01-04 15:23:18,156 INFO    MainThread:444709 [wandb_run.py:_on_init():2010] got version response 
2023-01-04 15:23:18,156 INFO    MainThread:444709 [wandb_init.py:init():728] starting run threads in backend
2023-01-04 15:23:21,276 INFO    MainThread:444709 [wandb_run.py:_console_start():1986] atexit reg
2023-01-04 15:23:21,276 INFO    MainThread:444709 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2023-01-04 15:23:21,276 INFO    MainThread:444709 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-01-04 15:23:21,276 INFO    MainThread:444709 [wandb_run.py:_redirect():1931] Redirects installed.
2023-01-04 15:23:21,277 INFO    MainThread:444709 [wandb_init.py:init():765] run started, returning control to user process
2023-01-04 15:46:35,352 WARNING MsgRouterThr:444709 [router.py:message_loop():77] message_loop has been closed
