2023-01-04 15:49:08,895 INFO    MainThread:446609 [wandb_setup.py:_flush():68] Configure stats pid to 446609
2023-01-04 15:49:08,896 INFO    MainThread:446609 [wandb_setup.py:_flush():68] Loading settings from /home/workstaion/.config/wandb/settings
2023-01-04 15:49:08,896 INFO    MainThread:446609 [wandb_setup.py:_flush():68] Loading settings from /home/workstaion/workspace/potatochips/midog/wandb/settings
2023-01-04 15:49:08,896 INFO    MainThread:446609 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-04 15:49:08,896 INFO    MainThread:446609 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2023-01-04 15:49:08,896 INFO    MainThread:446609 [wandb_init.py:_log_setup():476] Logging user logs to /home/workstaion/workspace/potatochips/midog/wandb/run-20230104_154908-17qc439n/logs/debug.log
2023-01-04 15:49:08,897 INFO    MainThread:446609 [wandb_init.py:_log_setup():477] Logging internal logs to /home/workstaion/workspace/potatochips/midog/wandb/run-20230104_154908-17qc439n/logs/debug-internal.log
2023-01-04 15:49:08,897 INFO    MainThread:446609 [wandb_init.py:init():516] calling init triggers
2023-01-04 15:49:08,897 INFO    MainThread:446609 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-01-04 15:49:08,897 INFO    MainThread:446609 [wandb_init.py:init():569] starting backend
2023-01-04 15:49:08,897 INFO    MainThread:446609 [wandb_init.py:init():573] setting up manager
2023-01-04 15:49:08,904 INFO    MainThread:446609 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-01-04 15:49:08,909 INFO    MainThread:446609 [wandb_init.py:init():580] backend started and connected
2023-01-04 15:49:08,913 INFO    MainThread:446609 [wandb_init.py:init():658] updated telemetry
2023-01-04 15:49:08,928 INFO    MainThread:446609 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-01-04 15:49:09,506 INFO    MainThread:446609 [wandb_run.py:_on_init():2006] communicating current version
2023-01-04 15:49:09,552 INFO    MainThread:446609 [wandb_run.py:_on_init():2010] got version response 
2023-01-04 15:49:09,552 INFO    MainThread:446609 [wandb_init.py:init():728] starting run threads in backend
2023-01-04 15:49:12,633 INFO    MainThread:446609 [wandb_run.py:_console_start():1986] atexit reg
2023-01-04 15:49:12,633 INFO    MainThread:446609 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2023-01-04 15:49:12,634 INFO    MainThread:446609 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-01-04 15:49:12,634 INFO    MainThread:446609 [wandb_run.py:_redirect():1931] Redirects installed.
2023-01-04 15:49:12,634 INFO    MainThread:446609 [wandb_init.py:init():765] run started, returning control to user process
2023-01-04 16:02:08,534 WARNING MsgRouterThr:446609 [router.py:message_loop():77] message_loop has been closed
